ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Note:	Value	link
1	WEMOS_D1_MINI_PRO4	U4	DIP-16_WEMOS_D1_MINI_PRO4	100	D1 Mini	null	AliExpress	null	 $149.00 	 For small quantitys, search for a WeMos D1 MINI. DO NOT GET V4 		https://www.aliexpress.us/item/2251832779311798.html?spm=a2g0o.cart.0.0.387538daxtHeR4&mp=1&_gl=1*1rvrpst*_gcl_aw*R0NMLjE3MzMwOTQ0NDMuQ2p3S0NBaUFqS3U2QmhBTUVpd0F4NFVzQWpaOUJMZkE0a19GMEZ5V1YyQklDZzFYNkxwUEFFcEh1TWpNQ1Y5cV9wR01paEl3N2JEVVdob0NjWjRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3MzMwOTQ0NDMuQ2p3S0NBaUFqS3U2QmhBTUVpd0F4NFVzQWpaOUJMZkE0a19GMEZ5V1YyQklDZzFYNkxwUEFFcEh1TWpNQ1Y5cV9wR01paEl3N2JEVVdob0NjWjRRQXZEX0J3RQ..*_gcl_au*NjQxMDczNzIxLjE3MzMwMjMwNzE.*_ga*MTc2NzI3MjcwNTIyNzExMS4xNzMzMDIzMDc1NzA1*_ga_VED1YSGNC7*MTczMzEwMzU2MS45LjAuMTczMzEwMzU2MS42MC4wLjA.&gatewayAdapt=glo2usa
2	BMI270	BMI270	LGA-14_L3.0-W2.5-P0.50-BR	1	BMI270	Bosch(博世)	LCSC	C2836813	 $1.78 			https://cn.bing.com/search?q=datasheet： BMI270
3	100nF	C1&2	C0402	2	FN15X104K500PKG	PSA(信昌电陶)	LCSC	C525226	 $0.00 			https://item.szlcsc.com/15869.html
4	SW-TH_SK-12D02-G020	U1	SW-TH_SK-12D02-G020	1	SK-12D02-G020	G-Switch(品赞)	LCSC	C5446807	 $0.07 			https://lcsc.com/eda_search?q=C5446807&%26type=1&ref=editor
5	R0805	R2	R0805	1	HPCR0805F180KK9	RESI(开步睿思)	LCSC	C365250	 $0.00 		180kΩ	https://lcsc.com/eda_search?q=C365250&%26type=1&ref=editor
6	 TP4056 Lithium Battery Charger Module	(It goes on the pads on the top of the board)		Varies			AliExpress		 Varies 			https://www.aliexpress.us/item/3256807657111049.html?spm=a2g0o.cart.0.0.387538daxtHeR4&mp=1&_gl=1*kidkqu*_gcl_aw*R0NMLjE3MzMwOTQ0NDMuQ2p3S0NBaUFqS3U2QmhBTUVpd0F4NFVzQWpaOUJMZkE0a19GMEZ5V1YyQklDZzFYNkxwUEFFcEh1TWpNQ1Y5cV9wR01paEl3N2JEVVdob0NjWjRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3MzMwOTQ0NDMuQ2p3S0NBaUFqS3U2QmhBTUVpd0F4NFVzQWpaOUJMZkE0a19GMEZ5V1YyQklDZzFYNkxwUEFFcEh1TWpNQ1Y5cV9wR01paEl3N2JEVVdob0NjWjRRQXZEX0J3RQ..*_gcl_au*NjQxMDczNzIxLjE3MzMwMjMwNzE.*_ga*MTc2NzI3MjcwNTIyNzExMS4xNzMzMDIzMDc1NzA1*_ga_VED1YSGNC7*MTczMzEwMDI3MC44LjEuMTczMzEwMDI3OC41Mi4wLjA.&gatewayAdapt=glo2usa
7	3.7V 18650 Battery Pack 1S	(It goes in the case, solder [RED = B1, BLACK = B-]	18650	Depends on the ammount of trackers	18650-2000-1S	YDL Battery	YDL Battery	18650-2000-1S	 Scales to quantity 			https://ydlbattery.com/products/3-7v-18650-battery-pack?variant=44262328828057
												
												
												
												
												
												
										l		
